"Welltech Health - Driver-Based Financial Model - BASE CASE (ILLUSTRATIVE, not a forecast)"
FX: USD1=RM4.70; S$1=RM3.615; HK$1=RM0.6026. Figures RM unless noted. Generated by model.py.
Line item (RM unless noted),Year 1,Year 2,Year 3,Year 4,Year 5
Active patients - Malaysia (end of yr),1922,4970,7844,10830,13816
Active patients - Singapore (end of yr),0,1063,2970,5230,7502
Active patients - Hong Kong (end of yr),0,0,1158,3235,5556
Active patients - TOTAL (end of yr),1922,6034,11972,19295,26874
New enrolments (in year),2520,7030,12675,19185,25310
Revenue - Malaysia,9073261,38480197,70784594,101821687,134677300
Revenue - Singapore,0,11082325,46632782,95205089,147323209
Revenue - Hong Kong,0,0,15356160,65680137,132030727
Revenue - TOTAL (RM),9073261,49562522,132773536,262706912,414031237
Revenue - TOTAL (USD),1930481,10545218,28249689,55895088,88091752
Year-end ARR run-rate (RM),20755633,77898990,186397117,331166601,483389878
Year-end ARR run-rate (USD),4416092,16574253,39658961,70460979,102848910
Gross profit (RM),3810770,21703070,61951919,128457564,206793817
Variable ops: staffing+tech (RM),926906,4325090,9754871,16437110,24138902
Customer acquisition (CAC) spend (RM),1638000,5947070,14238695,24201370,33389850
Contribution after CAC (RM),1245863,11430910,37958353,87819084,149265065
Fixed central overhead (RM),7800000,15600000,24000000,32400000,39600000
Capex + market-entry one-offs (RM),3000000,6000000,4000000,0,0
EBITDA-ish (RM),-9554137,-10169090,9958353,55419084,109665065
EBITDA-ish (USD),-2032795,-2163636,2118799,11791294,23332993
Cumulative EBITDA / (funding need) (RM),-9554137,-19723227,-9764874,45654210,155319275
Cumulative EBITDA / (funding need) (USD),-2032795,-4196431,-2077633,9713662,33046654
